[train_v2] Device: cuda
[train_v2] transition=lstm hidden=512 layers=3 | epochs=1500 seq_len=40 lr=0.0005 batch=8
[train_v2] loss weights: recon=0.3 kl_dyn=1.0 kl_reg=0.005 free_bits=0.0 trans_mse=1.0
[train_v2] Loaded 9 cached feature sequences from data/features_cache_v2.pkl
[train_v2] feature stats set on 2435 frames (mean|14.114| std~74.016)
/usr/lib/python3/dist-packages/scipy/__init__.py:146: UserWarning: A NumPy version >=1.17.3 and <1.25.0 is required for this version of SciPy (detected version 1.26.4
  warnings.warn(f"A NumPy version >={np_minversion} and <{np_maxversion}"
[metrics] run 'world_model_v2_20260621_052133' → logs/world_model_v2_20260621_052133/

==================================================
WORLD MODEL v2 TRAINING (proper VAE)
==================================================
  Epoch  275/1500 | Loss 1.20184 | Best 1.15581 | recon 0.6504 | kl_dyn 0.0001 | kl_reg 0.0165
  Epoch  280/1500 | Loss 1.28269 | Best 1.15581 | recon 0.9439 | kl_dyn 0.0002 | kl_reg 0.0139
  Epoch  285/1500 | Loss 1.31148 | Best 1.15581 | recon 1.0021 | kl_dyn 0.0002 | kl_reg 0.0122
  Epoch  290/1500 | Loss 1.20549 | Best 1.15581 | recon 0.6812 | kl_dyn 0.0001 | kl_reg 0.0128
  Epoch  295/1500 | Loss 1.32837 | Best 1.15581 | recon 1.1271 | kl_dyn 0.0003 | kl_reg 0.0110
  Epoch  300/1500 | Loss 1.20448 | Best 1.15581 | recon 0.6636 | kl_dyn 0.0001 | kl_reg 0.0113
  Epoch  305/1500 | Loss 1.23702 | Best 1.15581 | recon 0.7914 | kl_dyn 0.0002 | kl_reg 0.0114
  Epoch  310/1500 | Loss 1.19445 | Best 1.15581 | recon 0.6185 | kl_dyn 0.0001 | kl_reg 0.0102
  Epoch  315/1500 | Loss 1.23470 | Best 1.15581 | recon 0.7468 | kl_dyn 0.0002 | kl_reg 0.0115
  Epoch  320/1500 | Loss 1.27960 | Best 1.15581 | recon 0.9298 | kl_dyn 0.0001 | kl_reg 0.0119
  Epoch  325/1500 | Loss 1.21879 | Best 1.15581 | recon 0.7283 | kl_dyn 0.0001 | kl_reg 0.0115
  Epoch  330/1500 | Loss 1.27118 | Best 1.15581 | recon 0.9022 | kl_dyn 0.0002 | kl_reg 0.0100
  Epoch  335/1500 | Loss 1.37274 | Best 1.15581 | recon 1.2245 | kl_dyn 0.0002 | kl_reg 0.0087
  Epoch  340/1500 | Loss 1.31157 | Best 1.15581 | recon 1.0505 | kl_dyn 0.0005 | kl_reg 0.0092
  Epoch  345/1500 | Loss 1.34006 | Best 1.15581 | recon 1.1498 | kl_dyn 0.0004 | kl_reg 0.0083
  Epoch  350/1500 | Loss 1.32728 | Best 1.15581 | recon 1.0650 | kl_dyn 0.0004 | kl_reg 0.0080
  Epoch  355/1500 | Loss 1.34195 | Best 1.15581 | recon 1.1370 | kl_dyn 0.0002 | kl_reg 0.0083
  Epoch  360/1500 | Loss 1.23258 | Best 1.15581 | recon 0.7715 | kl_dyn 0.0001 | kl_reg 0.0079
