step,elapsed_s,loss,best,recon,kl_dyn,kl_reg,lr
22,5.2,1.0927123890982733,1.065117217876293,0.8945036333192278,1.001660077660172,0.3203916237862022,0.0004997157993895938
23,5.4,1.0734872199870922,1.065117217876293,0.7153953120664314,1.001110867217735,0.16736118716222267,0.0004996905543684743
24,5.6,1.1127601155528315,1.065117217876293,1.1114760986356824,1.0,0.3225011753815192,0.0004996642360148705
25,5.8,1.1171289505781952,1.065117217876293,1.1400230201306167,1.0010835108933624,0.4086282595440193,0.0004996368444442279
26,6.0,1.1138944934915613,1.065117217876293,1.1272376407351758,1.0,0.23414820598231423,0.0004996083797766989
27,6.2,1.0943375119456538,1.065117217876293,0.9215192273259163,1.000087442221465,0.4196295059389538,0.0004995788421371436
28,6.4,1.1140954582779496,1.065117217876293,0.8987839397180963,1.0217970079845853,0.4840116092452296,0.0004995482316551287
29,6.6,1.0830070707533095,1.065117217876293,0.8207202738633862,1.0,0.18700861848062938,0.0004995165484649266
30,6.8,1.0925711349204734,1.065117217876293,0.9129347725322953,1.0,0.2555330224611141,0.0004994837927055152
31,7.0,1.1150197673726965,1.065117217876293,1.1309728142287996,1.0002020155941997,0.3440957030764333,0.0004994499645205775
32,7.2,1.1064092185762193,1.065117217876293,1.0423852140428844,1.0000431802537706,0.4255032864985643,0.0004994150640585002
33,7.4,1.0780352574807626,1.065117217876293,0.7015052850323694,1.006511131922404,0.27471744655459013,0.000499379091472374
34,7.6,1.1075435920997903,1.065117217876293,1.0647904548656058,1.0,0.2129075322990064,0.0004993420469199923
35,7.9,1.074503121552644,1.065117217876293,0.7332965466711256,1.0,0.23469195542512117,0.0004993039305638505
36,8.1,1.1127790565843936,1.065117217876293,1.1087666259457667,1.0,0.38047721706054827,0.0004992647425711457
37,8.3,1.0947268980520743,1.065117217876293,0.9211307550883956,1.0003076615156952,0.4612336511965151,0.0004992244831137754
38,8.5,1.0879446577142786,1.065117217876293,0.8587183670865165,1.0000285572475858,0.40885255954883715,0.0004991831523683374
39,8.7,1.0919310869993988,1.065117217876293,0.807162309134448,1.0099904581352517,0.24488064922668315,0.0004991407505161287
40,8.9,1.0962013491877802,1.065117217876293,0.9515465104745494,1.0,0.20933910321306298,0.0004990972777431443
41,9.1,1.1005198469868414,1.065117217876293,0.9936465485090459,1.0000366237428453,0.22371255496033915,0.0004990527342400773
42,9.3,1.0989578476658575,1.065117217876293,0.9726370673074767,1.0,0.33882546093728805,0.0004990071202023172
43,9.5,1.0958896566320349,1.065117217876293,0.9374513256329077,1.000055608925996,0.41778067306235983,0.0004989604358299495
44,9.8,1.087786149095606,1.065117217876293,0.8587507576578193,1.0002333852979872,0.33553964727454716,0.0004989126813277546
45,10.0,1.0789096178831878,1.065117217876293,0.7769382264879015,1.0000363058514066,0.23589864180043893,0.0004988638569052073
46,10.2,1.1085143530810322,1.065117217876293,1.059124790959888,1.0006498981405187,0.39039307446391497,0.0004988139627764753
47,10.4,1.1095474781813446,1.065117217876293,1.0865348293273538,1.0,0.17879889325963128,0.0004987629991604186
48,10.7,1.0893695972583912,1.065117217876293,0.8770635308766807,1.000004459310461,0.3317568004131317,0.0004987109662805886
49,10.9,1.0868278476927016,1.065117217876293,0.8427829102233604,1.0004665454228718,0.4165981102872778,0.000498657864365227
50,11.1,1.0739857576511525,1.065117217876293,0.7214785615603129,1.000000282570168,0.36752345550943305,0.0004986036936472648
51,11.3,1.1294260289933946,1.065117217876293,1.2645988181509353,1.0010097689098783,0.3912788197674133,0.0004985484543643211
52,11.6,1.0862124275278162,1.065117217876293,0.8506448026056643,1.0,0.2295854276529065,0.0004984921467587026
53,11.8,1.1677207593564634,1.065117217876293,0.8730134653548399,1.078429345731382,0.39801297419601017,0.000498434771077402
